CÓDIGO PERSONA;EMPRESA;EDAD;SEXO;"ACTIVO/ CESADO 
(Data 07/12)";SEGMENTO;SEGMENTO_PERSONAL;CATEGORÍA_PERSONAL;POSICIÓN;UO3;UO2;NACIONAL/ EXTRANJERO;AGRUPADOR;EVENTO DE APRENDIZAJE;FECHA DE INICIO;FECHA DE TÉRMINO;MES DE INICIO;TOTAL HORAS POR PERSONA;HORAS POR CURSO;CAPACIDAD;MODALIDAD;INVERSIÓN PERCAPITA (US$);DOCENTE/INSTITUCIÓN;ASISTENCIA
6519563;Rimac Seguros y Reasegrs;44;Femenino;ACTIVO;Gerente Corporativo;GERENCIAL;VPE;VICEPRESIDENTE EJECUTIVO;DIVISION GESTION Y DESARROLLO HUMANO;DIVISION GESTION Y DESARROLLO HUMANO;NACIONAL;LEARNING;Otros;20/02/2020;20/02/2020;2;4;;NEGOCIO;PRESENCIAL; 83 ;CORPORACION BRECA S.A.C;ASISTIÓ
6536818;Rimac Seguros y Reasegrs;35;Femenino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE DESARROLLO Y QA;DESARROLLO TI;TECNOLOGIA DE INFORMACION;NACIONAL;LEARNING;Otros;20/02/2020;20/02/2020;2;4;;NEGOCIO;PRESENCIAL; 83 ;CORPORACION BRECA S.A.C;ASISTIÓ
6500808;Rimac Seguros y Reasegrs;35;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE RECLAMOS Y REQUERIMIENTOS;EXPERIENCIA DEL CLIENTE;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/02/2020;20/02/2020;2;4;;NEGOCIO;PRESENCIAL; 83 ;CORPORACION BRECA S.A.C;ASISTIÓ
6538891;Rimac Seguros y Reasegrs;27;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE RIESGOS;REASEGUROS Y COASEGUROS;DIVISION FINANZAS Y CONTROL DE RIESGO;NACIONAL;LEARNING;Otros;14/03/2020;18/04/2020;3;24;24;DATA ANALYTICS;PRESENCIAL; 76 ;Universidad Nacional de Ingeniería;ASISTIÓ
6508535;Rimac Seguros y Reasegrs;37;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE RIESGOS;REASEGUROS Y COASEGUROS;DIVISION FINANZAS Y CONTROL DE RIESGO;NACIONAL;LEARNING;Otros;14/03/2020;18/04/2020;3;24;;DATA ANALYTICS;PRESENCIAL; 76 ;Universidad Nacional de Ingeniería;ASISTIÓ
6503058;Rimac Seguros y Reasegrs;48;Masculino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE CONTACT CENTER;EXPERIENCIA DEL CLIENTE;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;7/05/2020;9/05/2020;5;24;24;NEGOCIO;PRESENCIAL; 847 ;PUCP;ASISTIÓ
6531175;Rimac Seguros y Reasegrs;27;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA SR DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;240;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6532407;Rimac Seguros y Reasegrs;36;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;GESTOR DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6532420;Rimac Seguros y Reasegrs;28;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6533320;Rimac Seguros y Reasegrs;28;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA SR DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6533349;Rimac Seguros y Reasegrs;35;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6533800;Rimac Seguros y Reasegrs;26;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6536050;Rimac Seguros y Reasegrs;24;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6536810;Rimac Seguros y Reasegrs;25;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6536856;Rimac Seguros y Reasegrs;28;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA SR DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6538170;Rimac Seguros y Reasegrs;25;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6538184;Rimac Seguros y Reasegrs;23;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6540727;Rimac Seguros y Reasegrs;24;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6540728;Rimac Seguros y Reasegrs;23;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6541573;Rimac Seguros y Reasegrs;22;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6542207;Rimac Seguros y Reasegrs;25;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;18/03/2020;18/03/2021;3;288;;DATA ANALYTICS;VIRTUAL; 520 ;Coursera;ASISTIÓ
6529516;Rimac Seguros y Reasegrs;34;Masculino;ACTIVO;Gerente;GERENCIAL;GTE;GERENTE DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;20/03/2020;18/03/2021;3;288;240;DATA ANALYTICS;VIRTUAL; 234 ;Masterclass;ASISTIÓ
6525019;Rimac Seguros y Reasegrs;39;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE PUBLICIDAD;MARKETING;DIVISION SEGUROS PERSONAS Y SALUD;Nacional;LEARNING;Otros;14/01/2020;14/01/2020;1;9;9;INNOVACIÓN;PRESENCIAL; 980 ;CORPORACION BRECA S.A.C;ASISTIÓ
6538915;Rimac Seguros y Reasegrs;30;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE APRENDIZAJE Y GEST DEL CONOCIMIENTO;GESTION DEL TALENTO;DIVISION GESTION Y DESARROLLO HUMANO;Nacional;LEARNING;Otros;14/01/2020;14/01/2020;1;9;;INNOVACIÓN;PRESENCIAL; 980 ;CORPORACION BRECA S.A.C;ASISTIÓ
6539465;Rimac Seguros y Reasegrs;37;Masculino;ACTIVO;Gerente Corporativo;GERENCIAL;VP;VICEPRESIDENTE DE ESTRATEGIA;ESTRATEGIA;ESTRATEGIA;Nacional;LEARNING;Otros;14/01/2020;14/01/2020;1;9;;INNOVACIÓN;PRESENCIAL; 980 ;CORPORACION BRECA S.A.C;ASISTIÓ
6533046;Rimac Seguros y Reasegrs;38;Masculino;ACTIVO;Gerente;GERENCIAL;GTE;TRIBE LEAD;TRIBU DIGITAL;INNOVACION Y ESTRATEGIA DIGITAL;Nacional;LEARNING;Otros;14/01/2020;14/01/2020;1;9;;INNOVACIÓN;PRESENCIAL; 980 ;CORPORACION BRECA S.A.C;ASISTIÓ
6537073;Rimac Seguros y Reasegrs;40;Masculino;ACTIVO;Gerente;GERENCIAL;GTE;TRIBE LEAD;TRIBU EMPRESAS;DIVISION SEGUROS EMPRESAS;Nacional;LEARNING;Otros;14/01/2020;14/01/2020;1;9;;INNOVACIÓN;PRESENCIAL; 980 ;CORPORACION BRECA S.A.C;ASISTIÓ
6539438;Rimac Seguros y Reasegrs;44;Masculino;ACTIVO;Gerente;GERENCIAL;GTE;GERENTE RETAIL Y BANCASEGUROS;CANALES;DIVISION DISTRIBUCION;Nacional;LEARNING;Otros;22/04/2020;13/05/2020;4;10;10;INNOVACIÓN;VIRTUAL; 332 ;UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA;ASISTIÓ
6532962;Rimac Seguros y Reasegrs;43;Masculino;ACTIVO;Gerente Corporativo;GERENCIAL;VP;VICEPRESIDENTE DE CANALES;CANALES;DIVISION DISTRIBUCION;Nacional;LEARNING;Otros;22/04/2020;13/05/2020;4;10;;INNOVACIÓN;VIRTUAL; 332 ;UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA;ASISTIÓ
6536310;Rimac Seguros y Reasegrs;40;Masculino;ACTIVO;Gerente;GERENCIAL;GTE;GERENTE CANALES DIRECTOS;CANALES;DIVISION DISTRIBUCION;Nacional;LEARNING;Otros;22/04/2020;13/05/2020;4;10;;INNOVACIÓN;VIRTUAL; 332 ;UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA;ASISTIÓ
6502042;Rimac Seguros y Reasegrs;34;Masculino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE BEHAVIORAL SCIENCE;COE SERVICE DESIGN;INNOVACION Y ESTRATEGIA DIGITAL;Extranjero;LEARNING;Otros;21/04/2020;10/06/2020;4;80;60;INNOVACIÓN;VIRTUAL; 2,795 ;MIT SLOAN EXCECUTIVE EDUCATION;ASISTIÓ
6532406;Rimac Seguros y Reasegrs;39;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;MACHINE LEARNING ENGINEER LEAD;COE ADVANCED ANALYTICS;INTELIGENCIA ARTIFICIAL Y DATA;Extranjero;LEARNING;Otros;21/04/2020;25/06/2020;4;30;30;DATA ANALYTICS;VIRTUAL; 300 ;Louis Dorard;ASISTIÓ
6533316;Rimac Seguros y Reasegrs;30;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;DATA SCIENTIST SR;COE ADVANCED ANALYTICS;INTELIGENCIA ARTIFICIAL Y DATA;Extranjero;LEARNING;Otros;21/04/2020;25/06/2020;4;30;;DATA ANALYTICS;VIRTUAL; 300 ;Louis Dorard;ASISTIÓ
6541455;Rimac Seguros y Reasegrs;24;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;MACHINE LEARNING ENGINEER;COE ADVANCED ANALYTICS;INTELIGENCIA ARTIFICIAL Y DATA;Extranjero;LEARNING;Otros;21/04/2020;25/06/2020;4;30;;DATA ANALYTICS;VIRTUAL; 300 ;Louis Dorard;ASISTIÓ
6533083;Rimac Seguros y Reasegrs;23;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;DATA SCIENTIST;COE ADVANCED ANALYTICS;INTELIGENCIA ARTIFICIAL Y DATA;Extranjero;LEARNING;Otros;21/04/2020;25/06/2020;4;30;;DATA ANALYTICS;VIRTUAL; 300 ;Louis Dorard;ASISTIÓ
6501231;Rimac Seguros y Reasegrs;41;Femenino;ACTIVO;Sub-Gerente;GERENCIAL;GTE;LIDER TRANSFORMACION AGIL;CENTRO EXCELENCIA AGIL;CENTRO EXCELENCIA AGIL;Nacional;LEARNING;Otros;11/05/2020;20/11/2020;5;108;108;NEGOCIO;VIRTUAL; 5,259 ;Berlitz;ASISTIÓ
6500594;Rimac Seguros y Reasegrs;38;Masculino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE DE INGENIERÍA;SUSCRIPCION RIESGOS PATRIMONIALES;DIVISION SEGUROS EMPRESAS;Extranjero;LEARNING;Otros;11/05/2020;15/05/2020;5;24;24;NEGOCIO;VIRTUAL;0;SCOTWORK COLOMBIA;ASISTIÓ
6537818;Rimac Seguros y Reasegrs;35;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;PRODUCT OWNER;TRIBU EMPRESAS;DIVISION SEGUROS EMPRESAS;Extranjero;LEARNING;Otros;20/05/2020;26/08/2020;5;90;90;INNOVACIÓN;VIRTUAL; 3,640 ;Kellogg Executive Education;ASISTIÓ
6525018;Rimac Seguros y Reasegrs;29;Masculino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;TRADER SR;MESA DE NEGOCIACION;DIVISION INVERSIONES;Extranjero;LEARNING;Otros;20/05/2020;26/08/2020;5;84;78;INNOVACIÓN;VIRTUAL; 3,640 ;Kellogg Executive Education;ASISTIÓ
6500950;Rimac Seguros y Reasegrs;38;Masculino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE ACTUARIAL RIESGOS GENERALES;GERENCIA ACTUARIAL;DIVISION FINANZAS Y CONTROL DE RIESGO;Extranjero;LEARNING;Otros;18/05/2020;18/08/2021;5;360;168;DATA ANALYTICS;VIRTUAL; 1,755 ;Edex - MITx;ASISTIÓ
6532386;Rimac S.A. EPS;45;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE SR SINIESTROS SALUD;SINIESTROS SALUD PERSONAS;DIVISION SEGUROS PERSONAS Y SALUD;Nacional;LEARNING;Otros;1/06/2020;1/06/2022;6;576;0;NEGOCIO;VIRTUAL; 15,240 ;ESAN;ASISTIÓ
6538413;Rimac Seguros y Reasegrs;34;Masculino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE DE VEHICULOS;PRODUCTO VEHICULAR;DIVISION SEGUROS PERSONAS Y SALUD;Extranjero;LEARNING;Otros;21/05/2020;28/06/2020;5;24;24;INNOVACIÓN;VIRTUAL; 779 ;IDEO UNIVERSITY;ASISTIÓ
6532420;Rimac Seguros y Reasegrs;28;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;Nacional;LEARNING;Otros;30/06/2020;14/01/2021;6;144;0;AGILE;VIRTUAL; 2,635 ;UNIVERSIDAD DEL PACÍFICO;ASISTIÓ
6525652;Rimac S.A. EPS;38;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE EXPERIENCIA Y OFERTA DE VALOR;RIESGOS HUMANOS;INNOVACION Y ESTRATEGIA DIGITAL;Nacional;LEARNING;Otros;15/05/2020;15/07/2020;5;18;18;NEGOCIO;VIRTUAL; 847 ;BERLITZ CENTERS DEL PERU;ASISTIÓ
6541601;Rimac Seguros y Reasegrs;44;Masculino;ACTIVO;Gerente;GERENCIAL;GTE;TRIBE LEAD;TRIBU TI;TECNOLOGIA DE INFORMACION;Nacional;LEARNING;Otros;23/06/2020;18/08/2020;6;48;48;DIGITAL & TECH;VIRTUAL; 2,379 ;MIT;ASISTIÓ
