id;age;fnlwgt;education-num;race;sex;capital-gain;capital-loss;hours-per-week;native-country
117;47;287828;13; White; Female;0;0;40;USA
118;20;111697;10; White; Female;0;1719;28;USA
119;31;114937;12; White; Male;0;0;40;USA
120;39;365739;10; White; Male;0;0;40;USA
121;28;69621;12; White; Female;0;0;60;USA
122;24;43323;9; White; Female;0;1762;40;USA
123;38;120985;9; White; Male;4386;0;35;USA
124;37;254202;13; White; Male;0;0;50;USA
125;46;146195;12; Black; Female;0;0;36;USA
126;38;125933;14; White; Male;0;0;40;Others
127;43;56920;9; White; Male;0;0;60;USA
128;27;163127;11; White; Female;0;0;35;USA
129;20;34310;10; White; Male;0;0;20;USA
130;49;81973;10;Other; Male;0;0;40;USA
131;61;66614;9; White; Male;0;0;40;USA
132;27;232782;10; White; Female;0;0;40;USA
133;19;316868;10; White; Male;0;0;30;Others
134;45;196584;11; White; Female;0;1564;40;USA
135;70;105376;10; White; Male;0;0;40;USA
136;31;185814;9; Black; Female;0;0;30;USA
137;22;175374;10; White; Male;0;0;24;USA
138;36;108293;9; White; Female;0;0;24;USA
139;64;181232;7; White; Male;0;2179;40;USA
140;47;186009;10; White; Female;0;0;38;Others
141;34;198183;9; White; Female;0;0;40;USA
142;33;163003;13;Other; Female;0;0;40;Others
143;21;296158;9; White; Male;0;0;35;USA
144;48;187715;9; White; Male;0;0;46;USA
145;23;214542;13; White; Male;0;0;40;USA
146;71;494223;10; Black; Male;0;1816;2;USA
147;29;191535;9; White; Male;0;0;60;USA
148;42;228456;13; Black; Male;0;0;50;USA
149;25;252752;9; White; Female;0;0;40;USA
150;44;78374;14;Other; Female;0;0;40;USA
151;28;88419;9;Other; Female;0;0;40;Others
152;45;201080;14; White; Male;0;0;40;USA
153;36;207157;10; White; Female;0;0;40;Others
154;39;235485;12; White; Male;0;0;42;USA
155;46;102628;14; White; Male;0;0;40;USA
156;18;25828;7; White; Male;0;0;16;USA
157;66;54826;11; White; Female;0;0;20;USA
158;27;124953;9; White; Male;0;1980;40;USA
159;28;175325;9; White; Male;0;0;40;USA
160;51;96062;10; White; Male;0;1977;40;USA
161;27;428030;13; White; Male;0;0;50;USA
162;28;149624;13; White; Male;0;0;40;USA
163;27;253814;9; White; Female;0;0;25;USA
164;21;312956;9; Black; Male;0;0;40;USA
165;34;483777;9; Black; Male;0;0;40;USA
166;18;183930;9; White; Male;0;0;12;USA
167;33;37274;13; White; Male;0;0;65;USA
168;44;181344;10; Black; Male;0;0;38;USA
169;43;114580;10; White; Female;0;0;40;USA
170;30;633742;10; Black; Male;0;0;45;USA
171;40;286370;4; White; Male;0;0;40;Others
172;37;29054;10; White; Male;0;0;42;USA
173;34;304030;9; Black; Male;0;0;40;USA
174;41;143129;13; White; Female;0;0;40;USA
175;31;99928;14; White; Female;0;0;50;USA
176;58;109567;16; White; Male;0;0;1;USA
177;38;155222;10; Black; Female;0;0;28;USA
178;24;159567;10; White; Male;0;0;40;USA
179;41;523910;13; Black; Male;0;0;40;USA
180;47;120939;10; White; Male;0;0;45;USA
181;41;130760;13; White; Male;0;0;24;USA
182;23;197387;3; White; Male;0;0;40;Others
183;36;99374;10; White; Male;0;0;40;USA
184;40;56795;14; White; Female;14084;0;55;USA
185;35;138992;14; White; Male;7298;0;40;USA
186;24;32921;9; White; Male;0;0;40;USA
187;26;397317;14; White; Female;0;1876;40;USA
188;51;259323;13; White; Male;0;0;50;USA
189;42;254817;10; White; Female;0;1340;40;USA
190;37;48211;9; White; Female;0;0;35;USA
191;18;140164;7; White; Female;0;0;40;USA
192;36;128757;13; Black; Male;7298;0;36;USA
193;35;36270;9; White; Male;0;0;60;USA
194;58;210563;9; White; Female;15024;0;35;USA
195;17;65368;7; White; Female;0;0;12;USA
196;44;160943;9; Black; Male;0;0;40;USA
197;37;208358;9; White; Male;0;0;40;USA
198;35;153790;10;Other; Female;0;0;40;USA
199;60;85815;9;Other; Male;0;0;40;USA
200;54;125417;4; White; Male;0;0;40;USA
201;37;635913;13; Black; Male;0;0;60;USA
202;50;313321;12; White; Female;0;0;40;USA
203;38;182609;13; White; Male;0;0;50;Others
204;45;109434;13; White; Male;0;0;55;USA
205;25;255004;6; White; Male;0;0;40;USA
206;31;197860;10; White; Male;0;0;40;USA
207;90;51744;9; Black; Male;0;2206;40;USA
208;54;176681;9; Black; Male;0;0;20;USA
209;53;140359;1; White; Female;0;0;35;USA
210;18;243313;9; White; Female;0;0;40;USA
211;66;167687;9; White; Male;1409;0;50;USA
212;75;314209;11; White; Female;0;0;20;Others
213;65;176796;9; White; Female;0;0;40;USA
214;35;538583;7; Black; Male;3674;0;40;USA
215;41;130408;9; Black; Female;0;0;38;USA
216;25;159732;10; White; Male;0;0;42;USA
217;33;110978;10;Other; Female;0;0;40;USA
218;28;76714;15; White; Male;0;0;55;USA
219;59;268700;9; White; Male;0;0;40;USA
220;40;170525;10; White; Female;0;0;38;USA
221;41;180138;13; White; Male;0;0;50;Others
222;38;115076;14; White; Male;0;0;70;USA
223;23;115458;9; White; Male;0;0;40;USA
224;40;347890;13; White; Male;0;0;40;USA
225;41;196001;9; White; Female;0;0;20;USA
226;24;273905;12; White; Male;0;0;50;USA
227;38;179488;10; White; Male;0;1741;40;USA
228;58;236596;9; White; Male;0;0;45;USA
229;32;183916;9; White; Female;0;0;34;USA
230;40;207578;12; White; Male;0;1977;60;USA
231;41;112763;15; White; Female;0;0;40;USA
232;42;390781;13; Black; Female;0;0;40;USA
233;59;171328;6; Black; Female;0;0;30;USA
234;19;27382;10; White; Male;0;0;40;USA
235;58;259014;10; White; Male;0;0;20;USA
236;42;303044;9;Other; Male;0;0;40;Others
237;20;117789;9; White; Female;0;0;40;USA
238;32;172579;9; White; Female;0;0;30;USA
239;45;187666;11; White; Female;0;0;45;USA
240;50;204518;4; White; Male;0;0;40;USA
241;36;150042;13; White; Female;0;0;40;USA
242;45;98092;9; White; Male;0;0;60;USA
243;17;245918;7; White; Male;0;0;12;USA
244;59;146013;10; White; Male;4064;0;40;USA
245;26;378322;7; White; Male;0;0;40;USA
246;37;257295;10;Other; Male;0;0;75;Others
247;64;21174;9; White; Male;0;0;40;USA
248;33;185480;13; White; Female;0;0;45;USA
249;33;222205;9; White; Female;0;0;40;USA
250;61;69867;9; White; Male;0;0;40;USA
251;17;191260;5; White; Male;1055;0;24;USA
252;50;30653;14; White; Male;2407;0;98;USA
253;27;209109;14; White; Male;0;0;35;USA
254;30;70377;9; White; Female;0;0;40;USA
255;43;477983;9; Black; Male;0;0;40;USA
256;44;170924;10; White; Male;7298;0;40;USA
257;35;190174;10; White; Female;0;0;40;USA
258;25;193787;10; White; Female;0;0;40;USA
259;24;279472;10; White; Female;7298;0;48;USA
260;22;34918;13; White; Female;0;0;15;Others
261;42;97688;10; White; Male;5178;0;40;USA
262;34;175413;12; Black; Female;0;0;45;USA
263;60;173960;13; White; Female;0;0;42;USA
264;21;205759;9; White; Male;0;0;40;USA
265;57;425161;14; White; Male;15024;0;40;USA
266;41;220531;15; White; Male;0;0;60;USA
267;50;176609;10; White; Male;0;0;45;USA
268;25;371987;13; White; Female;0;0;40;USA
269;50;193884;4; White; Male;0;0;40;Others
270;36;200352;13; White; Male;0;0;45;USA
271;31;127595;9; White; Female;0;0;40;USA
272;29;220419;13; White; Male;0;0;56;USA
273;21;231931;10; White; Male;0;0;45;USA
274;27;248402;13; Black; Female;0;0;40;USA
275;65;111095;9; White; Male;0;0;16;USA
276;37;57424;13; White; Female;0;0;60;USA
277;24;278130;9; White; Male;0;0;40;USA
278;38;169469;9; White; Male;0;0;80;USA
279;48;146268;13; White; Male;7688;0;40;USA
280;21;153718;10;Other; Female;0;0;25;USA
281;31;217460;9; White; Male;0;0;45;USA
282;55;238638;9; White; Male;4386;0;40;USA
283;24;303296;10;Other; Female;0;0;40;Others
284;43;173321;9; White; Female;0;0;40;USA
285;26;193945;12; White; Male;0;0;45;USA
287;35;193815;12; White; Male;0;0;40;USA
288;41;34987;10; White; Male;0;0;54;USA
289;26;59306;13; White; Male;0;0;40;USA
290;34;142897;14;Other; Male;7298;0;35;Others
291;36;205607;13; Black; Female;0;0;40;USA
292;22;199698;10; White; Male;0;0;15;USA
293;24;191954;10; White; Male;0;0;40;USA
294;77;138714;10; White; Male;0;0;40;USA
295;22;399087;3; White; Female;0;0;40;Others
296;29;423158;10; White; Female;0;0;40;USA
297;62;159841;9; White; Female;0;0;24;USA
298;39;174308;9; White; Male;0;0;40;USA
299;43;50356;10; White; Male;0;1485;50;USA
300;35;186110;9; White; Male;0;0;45;USA
301;29;200381;7; White; Female;0;0;40;USA
302;76;174309;14; White; Male;0;0;10;USA
303;63;78383;9; White; Male;0;0;45;USA
304;43;187728;10; White; Female;0;1887;50;USA
305;58;321171;9; White; Male;0;0;40;USA
306;66;127921;9; White; Male;2050;0;55;USA
307;41;206565;10; Black; Male;0;0;45;USA
308;26;224563;13; White; Male;0;0;40;USA
309;47;178686;11; White; Male;0;0;40;USA
310;55;98545;6; White; Male;0;0;40;USA
311;53;242606;9; White; Male;0;0;40;USA
312;17;270942;3; White; Male;0;0;48;Others
313;30;94235;9; White; Male;0;0;40;USA
314;49;71195;14; White; Male;0;0;60;USA
315;19;104112;9; Black; Male;0;0;30;Others
316;45;261192;9; Black; Male;0;0;40;USA
317;26;94936;12; White; Male;0;0;40;USA
318;38;296478;11; White; Male;7298;0;40;USA
319;36;119272;9; White; Male;7298;0;40;USA
320;33;85043;9; White; Male;0;0;20;USA
321;22;293364;10; Black; Female;0;0;40;USA
322;43;241895;13; White; Male;0;0;42;USA
323;56;101128;12; White; Male;0;0;25;Others
324;31;156464;13; White; Male;0;0;25;USA
325;33;117963;13; White; Male;0;0;40;USA
326;26;192262;9; White; Male;0;0;40;USA
327;33;111363;13; White; Male;0;0;40;USA
328;46;329752;7; White; Male;0;0;30;USA
329;38;95432;9; White; Male;0;0;40;USA
330;65;161400;7;Other; Male;0;0;40;USA
331;40;96129;11; White; Male;0;0;40;USA
332;42;111949;9; White; Female;0;0;35;USA
333;26;117125;5; White; Male;0;0;40;Others
334;36;348022;6; White; Female;0;0;24;USA
335;62;270092;14; White; Male;0;0;40;USA
336;43;180609;13; White; Male;0;0;45;USA
337;43;174575;13; White; Male;0;1564;45;USA
338;22;410439;9; White; Male;0;0;55;USA
339;28;92262;9; White; Male;0;0;40;USA
340;56;183081;10; White; Male;0;0;45;USA
341;22;362589;12; White; Female;0;0;15;USA
342;57;212448;13; White; Female;0;0;45;USA
343;39;481060;9; White; Female;0;0;40;USA
344;26;185885;10; White; Female;0;0;15;USA
345;17;89821;7; White; Male;0;0;10;USA
346;40;184018;11; White; Male;0;0;38;USA
347;45;256649;9; Black; Male;0;0;40;USA
348;44;160323;9; Black; Male;0;0;40;USA
349;20;350845;10; White; Female;0;0;10;USA
350;33;267404;9; White; Female;0;0;40;USA
351;23;35633;10; White; Male;0;0;40;USA
352;46;80914;14; White; Male;0;0;30;USA
353;38;172927;9; White; Male;0;0;50;USA
354;54;174319;9; White; Male;0;0;40;USA
355;46;214955;3; White; Female;0;2339;45;USA
356;25;344991;10; White; Male;0;0;40;USA
357;46;108699;10; White; Female;0;0;40;USA
358;36;117312;10; White; Female;0;0;40;USA
359;23;396099;9; White; Female;0;0;25;USA
360;29;134152;9; White; Male;0;0;40;USA
361;44;162028;10; White; Female;0;2415;6;USA
362;19;25429;10; White; Female;0;0;16;USA
363;19;232392;9; White; Female;0;0;40;USA
364;35;220098;9; White; Female;0;0;40;USA
365;27;301302;13; White; Male;0;0;50;USA
366;46;277946;12; White; Male;0;0;40;USA
367;34;196164;9; White; Female;0;0;35;USA
368;44;115562;10; White; Male;0;0;40;USA
369;45;96975;10; White; Female;0;0;40;USA
370;25;86872;13; White; Male;0;0;55;USA
371;52;132178;13; White; Male;0;0;50;USA
372;20;416103;10; White; Male;0;0;40;USA
373;28;108574;10; White; Female;0;0;40;USA
374;50;288353;13; White; Male;0;0;40;USA
375;34;227689;11; White; Female;0;0;64;USA
376;28;166481;4;Other; Male;0;2179;40;Others
377;41;445382;14; White; Male;0;1977;65;USA
378;28;110145;9; White; Male;0;0;40;USA
379;46;317253;9; White; Male;0;0;25;USA
380;32;364657;10; White; Male;0;0;50;USA
381;41;42346;10; Black; Female;0;0;24;USA
382;24;241951;9; Black; Female;0;0;40;USA
383;33;118500;10; White; Female;0;0;40;USA
384;46;188386;16; White; Male;15024;0;60;USA
385;31;1033222;10; White; Male;0;0;40;USA
386;35;92440;8; White; Male;0;0;50;USA
387;52;190762;2; White; Male;0;0;40;Others
388;30;426017;7; White; Female;0;0;19;USA
389;34;243867;7; Black; Male;0;0;40;USA
390;34;240283;9; White; Female;0;0;40;USA
391;20;61777;10; White; Male;0;0;30;USA
392;17;175024;7; White; Male;2176;0;18;USA
393;32;92003;13; White; Female;0;0;40;USA
394;29;188401;9; White; Male;0;0;40;USA
395;33;228528;6; White; Female;0;0;35;USA
396;25;133373;9; White; Male;0;0;60;USA
397;36;255191;14; White; Male;0;1408;40;USA
398;23;204653;9; White; Male;0;0;72;Others
399;63;222289;9; White; Male;0;0;40;USA
400;47;287480;14; White; Male;0;0;40;USA
401;40;204116;13; White; Female;2174;0;40;USA
402;30;29662;12; White; Female;0;0;25;USA
403;27;116358;10;Other; Male;0;1980;40;Others
404;33;208405;14; White; Male;0;0;50;USA
405;34;284843;9; Black; Male;594;0;60;USA
406;34;117018;10; White; Female;0;0;40;USA
407;23;81281;10; White; Male;0;0;40;USA
408;42;340148;10; White; Female;0;0;40;USA
409;29;363425;13; White; Male;0;0;40;USA
410;45;45857;9; White; Female;0;0;28;USA
411;24;191073;9; White; Male;0;0;40;USA
412;44;116632;10; White; Male;0;0;40;USA
413;27;405855;5; White; Male;0;0;40;Others
414;20;298227;10; White; Male;0;0;35;USA
415;44;290521;9; Black; Female;0;0;40;USA
416;51;56915;9;Other; Male;0;0;40;USA
417;20;146538;9; White; Male;0;0;40;USA
418;19;206399;9; Black; Female;0;0;40;USA
419;45;197332;10; White; Male;0;0;55;USA
420;60;245062;9; White; Male;0;0;40;USA
421;44;234885;9; White; Female;0;0;40;USA
422;40;72887;11;Other; Male;0;0;40;USA
423;30;180374;9; White; Female;0;0;40;USA
424;38;351299;10; Black; Male;0;0;50;USA
425;23;54012;9; White; Male;0;0;60;USA
426;44;116632;12; White; Male;0;0;40;USA
427;54;288825;9; Black; Male;0;0;40;USA
428;32;132601;13; White; Male;0;0;50;USA
429;50;193374;2; White; Male;0;0;40;USA
430;24;170070;13; White; Female;0;0;20;USA
431;37;126708;9; White; Female;0;0;60;USA
432;52;35598;9; White; Male;0;0;40;USA
433;38;33983;10; White; Male;0;0;40;USA
434;49;192776;14; White; Male;0;1977;45;USA
435;30;118551;13; White; Female;0;0;16;USA
436;60;201965;10; White; Male;0;0;40;USA
437;35;285020;9; White; Male;0;0;40;USA
438;30;303990;9; White; Male;0;0;60;USA
439;67;49401;11; White; Female;0;0;24;USA
440;46;279196;13; White; Female;0;0;40;USA
441;17;211870;5; White; Male;0;0;6;USA
442;22;281432;10; White; Male;0;0;30;USA
443;27;161155;6; White; Male;0;0;40;USA
444;23;197904;9; White; Female;0;0;35;USA
445;33;111746;12; White; Male;0;0;45;Others
446;43;170721;10; White; Male;0;0;20;USA
447;28;70100;13; White; Male;0;0;20;USA
448;41;193626;9; White; Female;0;0;40;USA
449;25;189775;10; Black; Female;0;0;20;USA
450;59;286967;9; White; Male;0;0;45;USA
451;45;164427;13; White; Female;0;0;40;USA
452;38;91039;13; White; Male;15024;0;60;USA
453;40;347934;9; White; Female;0;0;35;USA
454;46;371373;9; White; Male;0;0;40;USA
455;35;32220;12; White; Female;0;0;60;USA
456;34;187251;9; White; Female;0;0;25;USA
457;33;178107;13; White; Male;0;0;20;USA
458;41;343121;9; White; Female;0;0;36;USA
459;20;262749;10; White; Male;0;0;40;USA
460;23;403107;3; White; Male;0;0;40;Others
461;26;64293;10; White; Female;0;0;35;USA
462;23;324960;9; White; Male;0;0;40;Others
463;62;114060;9; White; Male;0;0;40;USA
464;52;48925;10; White; Male;0;0;40;USA
465;58;180980;10; White; Female;0;0;42;Others
466;25;181054;13; White; Female;0;0;40;USA
467;24;388093;13; Black; Male;0;0;40;USA
468;19;249609;10; White; Male;0;0;8;USA
469;43;112131;10; White; Male;0;0;40;USA
470;47;543162;9; Black; Female;0;0;40;USA
471;39;91996;9; White; Female;0;0;40;USA
472;49;141944;11; White; Male;0;1380;42;USA
473;32;37070;11; White; Male;0;0;45;USA
474;34;337587;10; White; Male;0;0;50;USA
475;28;189346;9; White; Male;0;0;45;USA
476;25;267044;10;Other; Female;0;0;20;USA
477;34;108116;13; White; Male;0;0;50;USA
478;38;99146;13; White; Male;15024;0;80;USA
479;50;196232;9; White; Male;7688;0;50;USA
480;24;248344;10; Black; Male;0;0;50;USA
481;37;186035;10; White; Male;0;0;45;USA
482;44;177905;10; White; Male;0;0;58;USA
483;28;85812;10; White; Female;0;0;40;USA
484;42;221172;13; White; Male;0;0;40;USA
485;74;99183;10; White; Female;0;0;9;USA
486;38;190387;9; White; Male;0;0;50;USA
487;44;202692;14; White; Male;0;0;40;USA
488;44;109339;7;Other; Female;0;0;46;Others
489;26;108658;9; White; Male;0;0;40;USA
490;36;197202;9; Black; Male;0;0;40;USA
491;41;101739;12; White; Female;0;0;50;USA
492;67;231559;15; White; Male;20051;0;48;USA
493;39;207853;8; White; Male;0;0;50;USA
494;57;190942;2; Black; Female;0;0;30;USA
495;29;102345;11; White; Male;0;0;40;USA
496;31;41493;13; White; Female;0;0;45;USA
497;44;210525;10; White; Male;0;0;40;USA
498;29;133937;16; White; Male;0;0;40;USA
499;30;237903;10; White; Female;0;0;40;USA
500;27;163862;9; White; Male;0;0;40;USA
501;27;201872;10; White; Male;0;0;50;USA
502;32;84179;9; White; Female;0;0;45;USA
503;58;51662;6; White; Female;0;0;8;USA
504;35;233327;10; White; Male;0;0;40;USA
505;21;259510;9; White; Male;0;0;36;USA
506;28;184831;10; White; Male;0;0;40;USA
507;46;245724;10; White; Male;0;0;50;USA
508;36;27053;9; White; Female;0;0;40;USA
509;72;205343;7; White; Female;0;0;40;USA
510;35;229328;9; Black; Female;0;0;40;USA
511;33;319560;11; Black; Female;0;0;40;USA
512;69;136218;7; White; Female;0;0;40;USA
513;35;54576;9; White; Male;0;0;40;USA
514;34;148291;9; White; Female;0;0;32;USA
515;30;152453;7; White; Male;0;0;40;Others
516;28;114053;13; White; Male;0;0;55;USA
517;54;212960;13; White; Male;0;0;35;USA
518;47;264052;10; White; Male;0;0;50;USA
519;24;82804;9; Black; Female;0;0;40;USA
520;52;334273;13; White; Male;0;0;60;USA
521;20;27337;9;Other; Male;0;0;48;USA
522;43;188436;14; White; Male;5013;0;45;USA
523;45;433665;4; White; Female;0;0;40;Others
524;29;110663;9; White; Male;0;0;35;USA
525;47;87490;14; White; Male;0;0;42;USA
526;24;354351;9; White; Male;0;0;40;USA
527;51;95469;9; White; Male;0;0;40;USA
528;17;242718;7; White; Male;0;0;12;USA
529;37;22463;11; White; Male;0;1977;40;USA
530;27;158156;16; White; Female;0;0;70;USA
531;29;350162;13; White; Male;0;0;40;USA
532;36;28738;12; White; Female;0;0;35;USA
533;58;283635;13; White; Female;0;0;40;USA
534;26;86646;10; White; Male;0;0;45;USA
535;57;69884;9; White; Male;0;0;40;USA
536;59;199713;9; White; Male;0;0;40;USA
537;27;181659;9; White; Male;0;0;40;USA
538;31;340939;13; White; Male;0;0;40;USA
539;21;197747;10; White; Female;0;0;24;USA
540;29;34292;10; White; Male;0;0;60;USA
541;18;156764;7; White; Male;0;0;40;USA
542;52;25826;6; White; Male;0;1887;47;USA
543;57;103948;13; White; Male;0;0;80;USA
544;60;39352;4; White; Male;0;0;48;USA
545;31;168387;13; White; Male;7688;0;40;Others
546;23;117789;13; White; Female;0;0;40;USA
547;27;267147;9; White; Male;0;0;40;USA
548;42;214242;15; White; Male;0;1902;50;USA
549;25;200408;10; White; Male;2174;0;40;USA
550;49;136455;13; White; Female;0;0;45;USA
551;32;239824;13; White; Male;0;0;40;USA
552;19;217039;10; White; Male;0;0;28;USA
554;42;175674;5; White; Male;0;0;40;USA
555;35;194404;12; White; Male;0;0;40;USA
556;48;45612;9; Black; Female;0;0;37;USA
557;51;410114;14; White; Male;0;0;40;USA
558;29;182521;9;Other; Male;0;0;40;USA
559;36;339772;9; Black; Male;0;0;40;USA
560;17;169658;6; White; Female;0;0;21;USA
561;52;200853;14; White; Female;6849;0;60;USA
562;24;247564;9; White; Male;0;0;40;USA
563;24;249909;9; White; Male;0;0;50;USA
564;26;208122;13; White; Male;1055;0;40;USA
565;27;109881;13; White; Female;0;0;20;USA
566;39;207824;9; White; Male;0;0;60;USA
567;30;369027;9; Black; Male;0;0;45;USA
568;50;114117;9; White; Male;0;0;32;USA
569;52;51048;13; White; Male;0;0;55;USA
570;46;102388;15; White; Male;15024;0;45;USA
571;23;190483;13; White; Female;0;0;20;USA
572;45;462440;7; Black; Female;0;0;20;USA
573;65;109351;5; Black; Female;0;0;24;USA
574;29;34383;11; White; Male;0;0;55;USA
575;47;241832;5; White; Male;0;0;40;Others
576;30;124187;9; Black; Male;0;0;60;USA
577;34;153614;9; White; Male;0;0;45;USA
578;38;267556;9; White; Male;0;0;64;USA
579;33;205469;10; White; Male;0;0;40;USA
580;49;268090;13; White; Male;0;0;26;USA
581;47;165039;10; Black; Female;0;0;40;USA
582;49;120451;6; Black; Female;0;0;40;USA
583;43;154374;10; White; Male;15024;0;60;USA
584;30;103649;13; Black; Female;0;0;40;USA
585;58;35723;9; White; Male;0;0;60;USA
586;19;262601;9; White; Female;0;0;14;USA
587;21;226181;13; White; Male;0;0;40;USA
588;33;175697;13; White; Male;15024;0;60;USA
589;47;248145;3; White; Male;0;0;50;Others
590;52;289436;16; White; Male;0;0;60;USA
591;26;75654;9; White; Male;0;0;55;USA
592;60;199378;9; White; Male;0;0;40;USA
593;21;160968;10; White; Male;0;0;40;USA
594;36;188563;10; White; Male;5178;0;50;USA
595;31;55849;10; White; Male;0;0;45;USA
596;50;195322;16; White; Male;0;0;40;USA
597;31;402089;9; White; Female;0;0;40;USA
598;71;78277;9; White; Male;0;0;15;USA
599;30;169496;13; White; Male;0;0;40;USA
600;20;130959;10; White; Male;0;0;20;USA
